meal_prep_done,carpool_done,transit_done,grocery_spent,gas_spent,total_spent,target_savings
0,1,1,46.49,48.47,133.23,54.55
0,0,1,73.48,29.34,141.72,34.41
1,1,0,51.33,41.66,132.14,54.39
1,1,0,66.83,43.11,155.48,44.27
0,0,1,44.84,45.49,118.01,19.14
1,0,1,31.23,44.44,124.02,60.59
1,1,1,47.62,18.13,108.35,75.12
0,1,1,68.74,34.91,133.04,44.75
0,1,1,55.48,14.2,108.21,42.68
1,1,0,62.61,23.47,127.16,40.55
1,0,1,35.94,46.19,156.44,58.71
1,1,0,49.64,24.29,118.66,47.98
0,1,1,49.79,26.17,113.77,39.27
1,1,1,53.13,9.58,107.76,71.59
0,0,1,29.22,18.93,116.53,27.76
1,0,1,54.13,22.01,162.39,56.79
1,1,1,68.98,35.59,147.86,87.07
0,1,1,69.76,31.98,193.24,41.55
0,1,1,75.28,25.4,185.33,50.38
0,0,0,34.53,24.71,121.61,5.65
0,1,1,57.59,10.03,100.75,44.93
0,0,0,46.14,13.31,117.44,3.24
0,1,1,70.77,37.57,158.91,52.9
1,0,0,26.57,50.02,124.48,38.9
1,0,1,59.0,41.34,124.79,47.26
1,1,0,40.62,33.96,134.46,51.3
0,1,1,53.46,6.75,96.14,44.29
0,1,1,47.65,40.62,93.58,46.18
1,0,1,30.12,40.73,141.79,53.52
0,0,0,42.98,33.47,125.51,2.39
0,1,0,21.22,23.42,133.66,17.05
0,0,0,59.73,16.08,109.05,2.6
1,1,0,25.45,42.06,147.4,50.89
1,1,1,65.45,32.39,142.66,74.02
1,1,1,45.18,25.49,123.65,72.61
0,1,0,47.15,34.48,119.86,20.05
1,1,0,79.58,27.87,158.8,52.0
1,0,0,81.33,28.6,182.09,24.8
1,1,0,44.08,25.73,105.4,52.42
1,0,0,58.21,20.83,128.42,40.02
0,1,1,55.6,35.07,144.64,43.7
1,0,0,59.58,18.57,160.82,24.27
1,1,1,55.14,18.88,140.07,73.01
0,1,0,55.11,44.35,160.75,21.78
0,1,1,48.33,37.68,151.8,43.04
0,1,1,47.4,30.16,105.63,37.8
0,0,0,63.12,8.43,142.82,11.23
0,1,1,52.55,23.0,147.34,52.67
1,0,0,59.34,30.58,141.71,24.09
0,1,1,70.76,35.64,168.3,49.27
0,0,0,45.94,42.62,141.15,1.9
0,0,1,47.17,35.53,132.02,20.25
1,0,1,57.84,32.07,189.02,59.89
1,1,1,35.16,39.41,104.91,73.88
0,0,0,54.94,33.95,127.26,0.0
0,1,0,70.96,29.25,138.63,20.32
1,0,0,88.19,34.13,183.91,35.8
1,1,0,31.34,23.07,90.04,54.47
0,1,1,65.43,35.7,139.78,47.16
0,1,0,57.87,22.65,123.43,22.27
0,1,1,34.05,22.6,117.82,39.05
0,1,0,48.68,55.8,138.4,28.2
1,0,0,65.64,24.8,107.46,35.23
1,0,0,33.49,22.89,94.64,29.01
0,1,1,42.19,32.05,97.33,49.12
1,1,0,20.09,33.74,128.39,43.95
0,1,1,20.73,23.71,77.94,45.81
0,0,0,35.14,36.29,103.13,0.41
0,0,1,49.7,33.84,115.27,23.59
0,1,1,68.2,31.42,196.0,46.97
1,1,0,54.47,40.02,119.73,50.12
0,1,1,33.94,21.1,90.96,43.81
0,0,0,69.65,30.39,153.91,0.0
1,0,1,49.91,38.38,139.93,54.51
0,1,1,76.61,32.6,151.99,42.75
1,0,0,32.18,26.47,87.92,36.57
1,1,1,51.85,37.09,99.56,73.91
0,1,0,70.85,35.58,156.64,13.44
0,1,0,38.01,33.52,140.54,3.06
0,1,0,57.62,30.54,102.11,16.77
1,1,1,60.89,25.41,103.17,81.28
0,0,0,46.8,44.91,144.68,0.0
0,0,0,39.36,38.54,138.88,0.0
0,1,1,26.99,39.12,126.1,56.44
0,1,0,43.51,43.27,111.33,26.73
0,1,1,58.12,37.59,134.18,32.04
1,1,0,76.24,37.94,173.33,44.03
0,0,1,35.09,29.69,75.58,35.3
1,1,0,44.16,35.54,151.53,52.67
0,1,0,72.07,27.91,136.59,25.2
0,1,1,47.03,26.2,121.48,45.76
1,0,1,71.16,42.14,168.83,59.0
0,0,1,65.16,28.69,131.77,24.62
1,0,0,44.52,31.85,99.42,25.14
0,1,0,33.85,12.21,121.17,20.94
1,1,1,59.11,43.11,127.17,72.49
0,1,1,46.83,28.83,125.11,47.87
0,1,1,40.35,39.28,130.77,46.34
0,1,0,85.45,34.21,174.27,15.46
0,0,1,23.93,10.52,96.04,25.74
1,1,0,49.31,50.43,125.49,55.68
0,0,1,47.49,32.83,125.35,33.04
1,1,1,30.6,32.34,110.0,73.18
1,0,0,48.58,29.14,143.98,32.89
0,0,0,43.64,20.6,143.8,0.0
0,1,0,58.48,12.39,135.94,21.91
0,0,1,32.1,27.67,136.31,26.24
1,0,0,69.32,25.77,150.3,23.0
1,1,0,73.17,39.45,176.35,38.93
1,1,1,38.23,36.48,122.29,77.1
0,1,0,48.41,42.22,119.2,20.03
0,0,1,58.84,33.39,108.25,32.29
0,1,1,44.09,25.88,91.08,36.69
0,1,0,41.54,31.85,154.22,30.03
1,1,1,87.69,26.61,158.17,75.33
0,0,0,66.74,23.51,159.2,3.41
1,0,1,36.43,26.97,95.85,58.91
0,1,0,72.7,36.31,138.53,29.27
1,1,1,58.18,20.57,134.82,68.12
1,1,0,42.08,37.71,91.88,50.85
0,0,1,43.83,35.29,115.29,13.88
1,0,0,32.45,1.28,83.18,38.86
0,1,0,43.04,26.54,134.14,19.13
0,1,0,35.35,21.08,113.53,18.89
1,1,1,33.96,10.63,84.99,78.57
0,0,1,13.64,38.84,117.21,23.59
1,1,1,34.05,31.38,110.27,79.63
1,1,1,63.27,20.81,111.87,77.84
1,0,0,54.61,28.69,116.83,29.18
1,0,0,34.76,30.62,123.96,33.47
0,0,1,82.61,39.4,183.04,22.82
1,0,0,43.27,50.1,178.77,24.83
1,1,1,45.47,32.24,129.15,74.89
0,0,0,40.31,22.01,102.66,0.0
1,1,1,35.39,34.59,151.64,76.9
0,0,1,49.08,22.64,123.39,29.41
1,0,1,37.95,8.7,80.38,53.97
0,0,0,51.7,15.62,135.7,0.0
1,0,0,65.74,16.19,76.75,35.32
1,1,1,62.51,25.72,132.92,77.42
1,1,0,43.6,30.9,151.62,46.03
1,0,0,80.94,19.32,150.75,37.06
1,0,0,34.13,29.59,95.27,35.87
1,1,1,32.16,27.45,110.27,73.67
0,1,0,42.47,35.59,133.92,19.63
1,0,0,52.53,43.18,125.57,35.7
0,1,0,30.08,40.83,135.65,17.17
1,1,1,58.19,21.6,118.48,72.95
0,0,0,56.71,17.86,163.45,0.0
0,0,1,56.06,29.76,117.74,26.62
1,1,1,36.15,35.04,138.55,73.11
0,1,0,65.43,16.83,146.73,23.34
0,0,1,62.89,33.46,115.13,17.86
1,1,0,17.41,38.47,95.18,49.55
1,1,1,58.11,38.85,167.02,85.28
1,0,0,59.89,26.14,142.82,26.77
0,1,1,24.5,35.28,124.69,40.57
0,1,0,64.25,47.11,159.27,19.16
0,1,1,25.61,25.04,107.72,51.97
0,0,1,55.21,41.64,152.15,28.21
0,1,1,42.23,32.41,123.13,49.38
0,0,0,47.94,39.53,169.71,6.57
1,0,0,71.02,41.09,154.86,27.49
1,0,0,56.36,31.43,167.38,33.06
0,1,0,63.6,27.85,157.58,21.03
0,1,1,28.91,29.17,77.98,48.8
1,0,0,67.39,31.21,138.9,33.88
0,0,0,57.2,57.31,172.06,0.0
0,1,0,62.75,24.25,157.76,20.43
0,0,0,78.52,29.39,143.74,0.0
1,0,1,55.16,37.69,159.68,49.17
0,0,1,52.17,23.85,111.86,26.71
1,0,0,39.95,32.67,145.26,41.0
0,0,1,46.63,23.5,123.5,27.21
0,1,1,53.49,39.14,119.81,45.03
0,0,0,55.72,36.37,143.26,0.0
1,1,0,54.75,49.01,137.04,49.49
0,1,0,52.4,19.72,147.44,15.67
0,1,1,65.72,26.65,127.59,44.16
0,0,1,46.01,44.33,150.91,27.44
1,1,0,44.61,32.32,121.49,49.63
1,0,1,33.64,25.89,87.41,53.93
1,0,0,47.68,34.31,85.0,31.67
0,0,0,47.74,22.86,142.81,0.0
0,1,1,54.08,41.58,126.9,45.71
0,0,1,42.89,29.86,133.67,25.03
1,1,0,23.49,15.49,72.22,47.78
0,1,1,48.6,32.29,135.68,49.52
1,0,0,53.03,22.22,124.88,31.99
0,1,0,59.57,35.01,108.56,17.29
1,0,0,50.46,16.78,94.94,33.73
0,0,1,64.42,11.75,122.74,19.46
0,1,0,59.47,23.46,114.88,25.3
1,0,1,31.56,34.97,107.22,54.47
0,0,1,74.97,45.62,158.69,14.51
1,0,1,44.57,32.8,114.07,59.37
1,1,1,36.36,30.29,115.61,83.21
0,1,1,36.41,23.46,97.96,51.87
0,1,0,70.44,21.68,139.99,24.78
1,0,0,56.22,44.92,174.46,28.98
1,1,0,33.47,21.5,119.42,45.69
1,1,1,66.86,39.48,140.88,77.04
1,0,1,42.08,40.14,136.45,63.63
1,0,0,41.97,38.57,140.83,33.58
0,0,1,52.71,31.45,121.78,26.57
0,0,1,47.55,22.55,106.6,24.28
0,1,0,66.45,48.8,150.94,21.68
1,1,1,47.31,30.83,124.91,71.45
0,0,1,45.81,40.28,120.31,22.65
0,0,1,46.03,9.96,118.7,18.8
0,0,0,43.9,16.17,96.04,2.92
0,0,1,82.81,17.1,136.93,25.95
1,1,1,26.53,27.83,82.66,69.92
1,0,1,55.89,24.91,130.29,46.15
1,1,1,58.34,38.12,133.33,67.31
0,0,0,40.61,30.15,139.86,0.0
0,1,1,18.9,25.71,98.31,39.74
1,1,1,53.94,31.94,152.89,74.31
1,1,1,38.76,33.42,123.75,72.23
1,0,0,57.83,21.84,133.5,30.34
1,0,0,55.97,31.58,133.84,21.29
0,1,0,47.91,25.5,123.42,23.01
0,0,0,54.32,21.66,120.26,1.64
0,0,1,44.05,34.83,121.46,35.52
1,1,0,59.72,37.56,145.31,47.83
1,0,1,36.96,41.25,104.42,63.21
1,1,1,37.88,31.54,121.69,73.45
0,1,1,23.84,31.19,74.53,39.33
1,0,1,37.11,41.95,123.97,57.22
0,0,0,50.34,35.47,112.19,5.57
1,1,0,43.37,26.64,124.64,55.49
1,0,0,46.43,31.92,147.97,26.29
1,0,1,64.34,49.19,201.17,58.93
0,0,1,52.6,32.44,130.58,32.45
1,0,1,54.47,35.66,143.13,58.18
0,0,1,39.57,29.59,129.9,25.26
1,1,0,59.94,21.34,147.93,51.26
0,1,0,33.33,32.47,125.76,25.7
0,0,1,66.84,35.18,148.99,27.08
1,1,0,54.95,36.2,119.37,49.22
1,1,0,39.52,42.52,145.13,50.92
1,1,1,16.82,45.33,83.68,73.67
0,1,0,14.37,35.98,85.11,21.55
1,0,1,50.72,33.32,125.56,46.91
0,0,0,37.66,43.17,114.1,7.92
1,1,1,40.38,34.88,161.34,74.05
0,1,0,72.29,27.79,156.2,25.27
0,1,1,59.28,27.93,149.78,38.65
1,1,1,50.9,16.77,105.52,78.8
0,0,0,81.5,27.53,151.86,0.0
1,0,0,49.89,36.15,78.01,40.0
0,1,1,53.71,31.5,137.23,47.94
1,0,1,22.4,46.1,102.42,58.73
0,0,1,43.89,36.86,132.88,27.92
0,1,0,22.63,22.38,91.38,20.87
0,0,0,71.17,25.95,139.89,0.0
1,0,0,37.1,19.7,98.2,30.43
1,0,0,10.94,31.99,101.66,32.02
0,1,1,40.21,42.13,133.6,51.55
0,0,0,41.41,13.33,118.55,0.0
0,0,1,41.27,24.12,114.83,23.9
1,0,1,60.19,18.51,142.03,57.31
0,1,1,37.19,20.76,100.78,40.88
0,1,1,71.9,12.8,122.73,46.14
0,1,1,23.77,31.33,98.61,56.5
0,1,1,65.78,20.02,128.12,46.25
0,0,0,31.91,28.19,104.61,1.1
1,0,0,43.66,36.77,119.71,32.7
0,1,1,35.87,34.54,126.64,42.76
1,0,0,49.92,36.69,114.77,28.06
1,1,1,44.01,33.0,136.73,81.24
1,0,0,61.61,19.99,135.46,36.6
0,1,0,23.32,23.45,76.04,19.76
1,1,1,17.7,40.97,99.09,70.69
0,1,1,50.1,43.53,139.52,42.65
0,0,1,51.05,23.6,104.6,19.49
0,1,0,48.32,37.03,140.64,24.74
1,0,0,41.96,12.93,82.56,36.18
1,1,0,52.47,29.59,146.08,54.28
0,1,0,72.81,25.05,141.97,17.36
1,0,1,56.07,29.58,137.91,50.3
1,1,0,63.35,40.35,116.78,45.35
1,0,0,55.86,54.54,175.25,36.82
1,1,1,51.31,33.96,133.61,75.93
1,1,1,36.71,29.09,156.72,78.86
1,0,1,62.17,18.52,147.06,62.69
0,0,1,82.33,20.22,123.66,32.15
0,1,0,50.66,27.44,121.56,11.88
0,1,1,61.37,44.59,139.33,48.49
1,0,1,49.65,28.26,132.41,53.15
0,0,1,53.91,32.97,80.49,27.91
0,1,1,73.52,42.9,182.58,40.13
1,0,0,35.4,11.23,105.84,23.25
1,1,1,57.5,34.72,143.73,78.71
1,0,1,24.85,30.93,97.9,62.35
0,1,0,24.23,32.85,123.29,18.65
0,1,1,43.69,43.63,143.92,49.47
1,1,1,79.89,22.33,141.23,79.3
0,1,0,55.95,16.86,106.78,7.85
1,1,1,53.78,26.24,165.0,69.91
0,1,1,50.64,19.96,137.72,49.79
0,1,0,45.03,23.88,97.2,15.87
1,1,0,62.86,21.33,124.34,52.85
0,1,0,32.82,16.37,113.34,20.05
0,0,0,42.88,40.33,162.16,0.53
0,0,1,56.3,36.07,183.5,19.35
0,0,0,73.92,23.61,143.09,0.0
0,0,0,51.68,47.45,143.51,2.12
1,0,1,35.41,32.09,104.11,49.9
0,0,0,29.34,24.35,124.12,10.44
0,0,1,55.72,37.91,173.42,22.41
0,1,1,65.23,27.59,153.79,56.1
0,1,0,61.36,29.92,148.38,19.78
0,0,0,62.88,27.65,141.3,0.0
0,0,0,65.42,33.2,130.49,8.55
0,0,0,33.55,38.38,146.83,0.66
0,1,1,44.82,27.25,127.4,35.96
0,0,0,38.0,29.36,142.11,0.0
0,1,1,29.93,29.13,122.33,47.32
1,0,0,47.09,23.37,114.56,36.73
1,0,0,48.99,24.29,126.3,28.58
1,0,0,40.93,7.94,116.81,36.37
0,1,0,66.65,25.95,134.82,25.26
0,1,1,54.03,45.13,177.09,47.07
0,1,0,66.89,37.73,138.61,27.53
1,0,0,54.45,34.63,143.03,31.56
0,0,1,57.95,34.12,173.85,26.28
1,1,0,35.18,39.33,111.91,44.96
1,0,0,64.14,38.6,194.29,37.11
1,1,0,57.66,40.31,134.81,54.27
1,0,0,69.8,37.27,160.27,22.34
1,1,0,34.8,37.01,91.29,53.09
0,0,0,47.65,43.08,155.52,4.08
0,1,1,55.24,14.35,121.5,43.68
1,0,1,51.02,15.69,107.92,63.16
0,1,1,42.96,36.45,115.26,45.63
1,0,1,59.04,40.42,149.19,54.05
0,0,1,34.75,27.56,111.52,24.33
0,1,0,34.52,41.13,126.36,14.46
1,0,0,64.5,33.31,180.49,38.77
0,0,0,63.26,41.7,159.64,0.0
1,0,0,55.51,9.0,127.02,34.43
0,1,0,64.07,26.45,130.14,20.77
0,0,0,30.32,38.68,127.08,0.0
1,0,0,30.19,52.36,128.97,23.66
1,1,1,50.65,35.58,85.64,73.52
0,1,0,56.67,40.41,150.51,18.5
1,1,0,37.89,28.51,135.03,51.31
1,1,1,50.63,55.63,180.51,72.48
1,0,0,53.8,38.2,141.33,32.27
0,0,1,44.69,21.36,75.75,18.74
0,1,1,40.01,28.22,105.04,41.48
1,1,1,68.48,4.63,114.88,72.58
1,1,0,42.69,26.48,103.77,43.52
0,0,1,52.99,32.87,126.08,23.61
0,0,0,70.28,32.82,157.83,0.0
1,1,1,51.75,28.99,137.0,74.81
1,0,0,48.25,23.64,156.67,28.39
1,1,0,52.61,19.61,122.55,48.24
0,1,0,0.13,15.31,56.95,25.18
0,1,1,55.6,22.91,137.19,31.87
1,0,0,78.56,46.26,219.2,29.2
1,1,0,51.43,31.71,119.74,47.99
1,1,0,36.37,22.85,118.06,47.85
1,1,0,73.41,50.35,198.69,47.19
1,0,1,39.23,27.69,140.52,55.97
0,0,1,52.03,13.32,165.94,28.12
1,0,0,54.44,33.75,165.28,33.44
1,1,0,29.27,32.5,91.77,46.08
0,0,0,35.95,23.32,115.12,0.0
0,0,0,61.13,39.99,178.56,3.04
0,0,1,67.57,26.35,131.93,19.45
1,0,1,44.34,50.26,135.94,56.57
1,1,1,18.74,47.25,110.24,76.44
0,0,1,40.29,18.76,139.69,24.04
0,0,1,37.78,24.54,136.74,22.56
1,0,0,78.69,38.64,172.9,22.86
0,0,1,47.37,36.69,136.01,31.48
0,0,0,24.9,23.43,73.67,0.0
1,0,0,60.43,15.38,102.36,35.73
1,1,0,52.41,55.34,171.29,48.77
1,1,0,63.14,44.73,145.79,48.85
0,1,0,54.93,30.28,133.7,23.51
1,1,0,33.57,32.98,115.45,52.42
1,0,1,53.96,37.25,125.3,52.2
1,0,0,35.77,47.47,151.88,28.82
1,1,0,34.35,19.37,100.83,45.26
1,1,0,37.46,11.15,103.2,58.56
1,0,0,61.64,43.72,119.25,36.87
1,0,0,68.96,21.54,151.36,31.0
1,0,1,78.45,32.2,188.49,44.75
1,0,1,57.0,35.06,145.61,50.44
0,0,1,52.62,21.64,130.7,23.88
1,0,1,51.08,27.88,109.92,55.39
1,0,0,55.89,45.91,142.6,22.37
1,0,0,49.01,34.51,124.9,29.27
1,0,1,27.43,31.26,109.29,55.99
0,0,1,66.24,25.29,139.66,31.63
0,1,1,32.24,31.97,105.4,50.2
0,1,0,41.67,16.99,118.34,22.31
0,0,0,36.95,23.4,107.51,0.0
1,1,0,12.68,23.42,95.16,45.09
1,1,0,39.19,22.38,142.58,50.35
0,1,0,46.75,23.7,76.74,25.72
1,1,1,40.45,11.42,133.79,73.22
1,1,1,41.67,32.04,99.67,73.02
0,1,1,51.49,14.83,105.49,46.41
1,1,0,55.3,27.44,160.15,57.15
0,1,1,46.71,29.11,116.05,51.75
1,0,1,53.51,27.51,155.04,55.7
1,1,1,50.04,45.79,114.48,72.93
1,1,0,60.09,12.35,117.94,49.57
0,1,0,65.04,40.85,133.49,16.3
0,0,1,65.63,35.84,148.87,27.9
1,0,0,72.28,27.58,103.11,23.17
0,0,0,56.65,18.48,110.83,0.0
1,0,1,43.19,33.4,91.61,64.91
1,1,1,47.09,22.44,140.5,83.28
1,1,0,59.54,24.89,132.05,51.37
0,1,1,41.09,28.94,121.7,42.4
1,0,0,39.63,40.45,146.55,24.75
1,0,1,50.62,34.43,154.08,49.89
0,1,0,50.59,18.95,96.3,18.46
0,0,0,59.53,24.51,94.34,0.0
1,0,1,36.02,17.78,120.63,56.85
0,0,0,34.42,13.69,73.36,0.55
1,0,1,57.91,27.39,169.01,56.71
0,1,1,75.47,21.35,178.18,40.7
0,0,1,31.04,19.07,117.35,26.7
0,0,1,64.68,35.22,127.82,23.35
1,0,0,53.69,0.47,128.98,26.49
0,0,0,45.8,11.74,81.25,8.83
1,1,1,50.14,51.04,148.75,75.18
0,0,1,53.33,42.79,127.08,21.62
1,0,1,54.25,54.97,156.46,53.57
1,0,0,43.2,38.95,150.18,38.44
1,0,1,34.91,26.56,110.91,53.14
1,1,0,70.56,36.95,163.19,45.06
1,1,0,55.51,17.65,103.16,48.81
1,0,1,47.22,26.78,125.52,53.64
0,0,1,49.11,47.89,170.35,27.55
1,0,0,52.77,39.38,142.4,44.34
1,1,1,55.64,33.11,141.42,74.34
0,1,1,78.52,32.45,163.2,45.76
0,0,1,69.56,48.39,184.79,20.95
1,0,0,67.8,44.36,157.4,30.23
1,1,1,48.75,-1.88,110.52,73.43
0,1,1,44.34,32.77,101.15,41.21
1,1,0,69.98,32.27,183.42,44.56
0,1,0,45.05,27.88,110.38,18.56
0,0,0,49.02,33.28,130.49,4.89
0,1,0,37.73,13.67,125.53,25.71
0,1,0,70.22,22.35,126.79,21.73
1,0,1,57.98,33.62,176.82,55.0
